cif_id,orgkey,cust_first_name,cust_middle_name,cust_last_name,preferredphone,preferredname,preferredemail,email,gender,name,pan
DLNIND4568821,R01562055,Duman,Narayan,Neupane,9.77983E+12,Duman Narayan Neupane,duman492@gmail.com,duman492@gmail.com,M,Duman Narayan Neupane,PAN714271279
DLNIND7235296,R01911512,Prajina,Devi,Maharjan,9.77989E+12,Prajina Devi Maharjan,prajina427@gmail.com,prajina427@gmail.com,F,Prajina Devi Maharjan,PAN503838478
DLNIND1406504,R02944296,Humacanta,Bipin,Thapa,9.77986E+12,Humacanta Bipin Thapa,humacanta862@gmail.com,humacanta862@gmail.com,M,Humacanta Bipin Thapa,PAN668645879
DLNLEG6218579,C00038863,KHOTANG FOODS PVT. LTD.,,,9.77986E+12,KHOTANG FOODS PVT. LTD.,khotangfoods840@outlook.com,khotangfoods840@outlook.com,,KHOTANG FOODS PVT. LTD.,PAN533918346
DLNIND1255130,R01651971,Adarsh,Bhakta,Lama,9.77981E+12,Adarsh Bhakta Lama,adarsh904@gmail.com,adarsh904@gmail.com,M,Adarsh Bhakta Lama,PAN331700070
DLNLEG8980703,R68384006,KALINCHOWK REAL ESTATE PVT. LTD.,,,9.77984E+12,KALINCHOWK REAL ESTATE PVT. LTD.,kalinchowkrealestate968@outlook.com,kalinchowkrealestate968@outlook.com,,KALINCHOWK REAL ESTATE PVT. LTD.,PAN922795324
DLNIND1498614,R01786441,Keith,Bikram,Rai,9.77985E+12,Keith Bikram Rai,keith826@gmail.com,keith826@gmail.com,M,Keith Bikram Rai,PAN182388122
DLNLEG9370940,C00004458,HIMAL DAIRY PRODUCTS PVT. LTD.,,,9.7799E+12,HIMAL DAIRY PRODUCTS PVT. LTD.,himaldairyproducts393@outlook.com,himaldairyproducts393@outlook.com,,HIMAL DAIRY PRODUCTS PVT. LTD.,PAN931349773
DLNLEG8767566,I40510833,EVEREST FOOTWEAR PVT. LTD.,,,9.77986E+12,EVEREST FOOTWEAR PVT. LTD.,everestfootwear774@outlook.com,everestfootwear774@outlook.com,,EVEREST FOOTWEAR PVT. LTD.,PAN402958382
DLNIND9286944,19898447,Veshraj,,Mainali,9861674997,Veshraj  Mainali,Veshraj.Mainali@dlytica.com,Veshraj.Mainali@dlytica.com,M,Veshraj  Mainali,PAN140168943
DLNIND3186116,R01901393,Posraj,Bhakta,Dahal,9.77989E+12,Posraj Bhakta Dahal,posraj514@gmail.com,posraj514@gmail.com,M,Posraj Bhakta Dahal,PAN108679158
DLNLEG5646672,C00033937,MANASLU HOSPITALITY PVT. LTD.,,,9.77989E+12,MANASLU HOSPITALITY PVT. LTD.,manasluhospitality709@outlook.com,manasluhospitality709@outlook.com,,MANASLU HOSPITALITY PVT. LTD.,PAN280369345
DLNIND2287753,R01028393,Kumud,Kumari,Regmi,9.77982E+12,Kumud Kumari Regmi,kumud395@gmail.com,kumud395@gmail.com,F,Kumud Kumari Regmi,PAN167423035
DLNLEG1290799,C00004434,PYUTHAN LOGISTICS PVT. LTD.,,,9.77985E+12,PYUTHAN LOGISTICS PVT. LTD.,pyuthanlogistics659@outlook.com,pyuthanlogistics659@outlook.com,,PYUTHAN LOGISTICS PVT. LTD.,PAN679940823
DLNIND5601256,R01901406,Rajoj,Hari,Rana,9.77981E+12,Rajoj Hari Rana,rajoj646@gmail.com,rajoj646@gmail.com,M,Rajoj Hari Rana,PAN185594326
DLNLEG5919852,C00004442,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,,,9.77986E+12,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,rupasavingsandcreditcooperative845@outlook.com,rupasavingsandcreditcooperative845@outlook.com,,RUPA SAVINGS AND CREDIT COOPERATIVE LTD.,PAN723809886
DLNIND2830344,R33297804,Apsa,Devi,Adhikari,9.77986E+12,Apsa Devi Adhikari,apsa211@gmail.com,apsa211@gmail.com,F,Apsa Devi Adhikari,PAN755710007
DLNLEG1598748,800520371,SAGARMATHA TRADERS PVT. LTD.,,,9.77985E+12,SAGARMATHA TRADERS PVT. LTD.,sagarmathatraders388@outlook.com,sagarmathatraders388@outlook.com,,SAGARMATHA TRADERS PVT. LTD.,PAN606494169
DLNIND7537080,R00090623,Bashuki,Maan,Neupane,9.77989E+12,Bashuki Maan Neupane,bashuki760@gmail.com,bashuki760@gmail.com,M,Bashuki Maan Neupane,PAN479408245
DLNLEG3727146,R22133142,LUMBINI INTERNATIONAL PVT. LTD.,,,9.77988E+12,LUMBINI INTERNATIONAL PVT. LTD.,lumbiniinternational699@outlook.com,lumbiniinternational699@outlook.com,,LUMBINI INTERNATIONAL PVT. LTD.,PAN484574196
DLNIND6814583,R01084371,Krishala,Kumari,Sharma,9.7799E+12,Krishala Kumari Sharma,krishala796@gmail.com,krishala796@gmail.com,F,Krishala Kumari Sharma,PAN571982938
DLNLEG5828268,R90504419,MAHENDRANAGAR CONSULTANCY PVT. LTD.,,,9.77985E+12,MAHENDRANAGAR CONSULTANCY PVT. LTD.,mahendranagarconsultancy369@outlook.com,mahendranagarconsultancy369@outlook.com,,MAHENDRANAGAR CONSULTANCY PVT. LTD.,PAN649400480
DLNIND2622447,R01516157,Prashanta,Babu,Thapa,9810288411,Prashanta Babu Thapa,Prashant.babu@dlytica.com,Prashant.babu@dlytica.com,M,Prashanta Babu Thapa,PAN288484684
DLNIND4157875,R02906784,Hrisheekesh,Dev,Khadka,9.77986E+12,Hrisheekesh Dev Khadka,hrisheekesh654@gmail.com,hrisheekesh654@gmail.com,M,Hrisheekesh Dev Khadka,PAN847554163
DLNIND8212211,R15483718,Tanushree,Devi,Regmi,9.77987E+12,Tanushree Devi Regmi,tanushree261@gmail.com,tanushree261@gmail.com,F,Tanushree Devi Regmi,PAN976589899
DLNIND3263104,R01592493,Prasanga,Bishal,Neupane,9.77987E+12,Prasanga Bishal Neupane,prasanga779@gmail.com,prasanga779@gmail.com,M,Prasanga Bishal Neupane,PAN924788908
DLNIND3744151,319749297,Buddhiraj,Bibek,Thakuri,9.77988E+12,Buddhiraj Bibek Thakuri,buddhiraj664@gmail.com,buddhiraj664@gmail.com,M,Buddhiraj Bibek Thakuri,PAN143048430
DLNIND4269310,R01266590,Bandana,Lal,Acharya,9.77988E+12,Bandana Lal Acharya,bandana657@gmail.com,bandana657@gmail.com,M,Bandana Lal Acharya,PAN473804509
DLNIND5676264,R02063811,Hina,Maya,Neupane,9.7799E+12,Hina Maya Neupane,hina652@gmail.com,hina652@gmail.com,F,Hina Maya Neupane,PAN792646871
DLNLEG6465924,R01001079,BIRATNAGAR AUTOMOBILES PVT. LTD.,,,9.77985E+12,BIRATNAGAR AUTOMOBILES PVT. LTD.,biratnagarautomobiles930@outlook.com,biratnagarautomobiles930@outlook.com,,BIRATNAGAR AUTOMOBILES PVT. LTD.,PAN952179235
DLNLEG5924902,R46253427,SUNSARI MANUFACTURING LTD.,,,9.77988E+12,SUNSARI MANUFACTURING LTD.,sunsarimanufacturing849@outlook.com,sunsarimanufacturing849@outlook.com,,SUNSARI MANUFACTURING LTD.,PAN596302582
DLNLEG6576494,R09092002,NEPAL AIRLINES LTD.,,,9.77986E+12,NEPAL AIRLINES LTD.,nepalairlines939@outlook.com,nepalairlines939@outlook.com,,NEPAL AIRLINES LTD.,PAN813377590
DLNIND3986994,R00134245,Asphota,Maya,Shrestha,9.77983E+12,Asphota Maya Shrestha,asphota998@gmail.com,asphota998@gmail.com,F,Asphota Maya Shrestha,PAN141132761
DLNIND9997823,R01911516,Pranij,Lal,Karki,9.7799E+12,Pranij Lal Karki,pranij859@gmail.com,pranij859@gmail.com,M,Pranij Lal Karki,PAN859562290
DLNLEG7996075,C00086423,NEPAL FINANCE GROUP LTD.,,,9.77983E+12,NEPAL FINANCE GROUP LTD.,nepalfinancegroup527@outlook.com,nepalfinancegroup527@outlook.com,,NEPAL FINANCE GROUP LTD.,PAN914688823
DLNIND5576304,R01082803,Lucy,Laxmi,Regmi,9.77984E+12,Lucy Laxmi Regmi,lucy858@gmail.com,lucy858@gmail.com,F,Lucy Laxmi Regmi,PAN747150056
DLNIND3092463,R00185654,Sonali,Maya,Dahal,9.77982E+12,Sonali Maya Dahal,sonali840@gmail.com,sonali840@gmail.com,F,Sonali Maya Dahal,PAN217875834
DLNLEG5142567,R23114400,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,,,9.77986E+12,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,bhimsenagriculturalcooperative107@outlook.com,bhimsenagriculturalcooperative107@outlook.com,,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,PAN491606593
DLNLEG3709876,C00004448,KAILASH PRINTING PRESS PVT. LTD.,,,9.77982E+12,KAILASH PRINTING PRESS PVT. LTD.,kailashprintingpress575@outlook.com,kailashprintingpress575@outlook.com,,KAILASH PRINTING PRESS PVT. LTD.,PAN880276201
DLNIND2129887,R01911511,Heli,Saraswati,Acharya,9.77985E+12,Heli Saraswati Acharya,heli853@gmail.com,heli853@gmail.com,F,Heli Saraswati Acharya,PAN502308017
DLNLEG5063941,R30091981,SYANGJA FOOTWEAR PVT. LTD.,,,9.77986E+12,SYANGJA FOOTWEAR PVT. LTD.,syangjafootwear282@outlook.com,syangjafootwear282@outlook.com,,SYANGJA FOOTWEAR PVT. LTD.,PAN392428656
DLNIND4781798,A09557301,Anoj,Bahadur,Yadav,9.77987E+12,Anoj Bahadur Yadav,anoj746@gmail.com,anoj746@gmail.com,M,Anoj Bahadur Yadav,PAN960820793
DLNIND8778682,R52291857,Srija,Krishna,Lama,9.77988E+12,Srija Krishna Lama,srija429@gmail.com,srija429@gmail.com,M,Srija Krishna Lama,PAN773963914
DLNIND6192226,R01901407,Nirvan,Bishnu,Maharjan,9.77988E+12,Nirvan Bishnu Maharjan,nirvan446@gmail.com,nirvan446@gmail.com,M,Nirvan Bishnu Maharjan,PAN160990648
DLNIND1372327,R28893337,Pramil,Narayan,Adhikari,9.77988E+12,Pramil Narayan Adhikari,pramil285@gmail.com,pramil285@gmail.com,M,Pramil Narayan Adhikari,PAN729503320
DLNIND7445925,R00587212,Abid,Gopal,Khadka,9.77984E+12,Abid Gopal Khadka,abid961@gmail.com,abid961@gmail.com,M,Abid Gopal Khadka,PAN409564003
DLNLEG5334058,C00004447,SUNSARI VENTURES LTD.,,,9.77983E+12,SUNSARI VENTURES LTD.,sunsariventures504@outlook.com,sunsariventures504@outlook.com,,SUNSARI VENTURES LTD.,PAN222576654
DLNIND9450331,R01014498,Avineak,Bishal,Pandey,9.77986E+12,Avineak Bishal Pandey,avineak833@gmail.com,avineak833@gmail.com,M,Avineak Bishal Pandey,PAN642077006
