cust_first_name,cust_middle_name,cust_last_name,gender,cust_type
Buddhiraj,Bibek,Thakuri,M,INDIVIDUAL
Pramil,Narayan,Adhikari,M,INDIVIDUAL
Shirish,Shankar,Timalsina,M,INDIVIDUAL
Hina,Maya,Neupane,F,INDIVIDUAL
Poshan,Gopal,Bhandari,M,INDIVIDUAL
Tanushree,Devi,Regmi,F,INDIVIDUAL
Kalyan,Gopal,Maharjan,M,INDIVIDUAL
Sonali,Maya,Dahal,F,INDIVIDUAL
Hena,Maya,Rai,F,INDIVIDUAL
Abid,Gopal,Khadka,M,INDIVIDUAL
Srija,Krishna,Lama,M,INDIVIDUAL
Apsa,Devi,Adhikari,F,INDIVIDUAL
Sunanda,Bishnu,Rai,M,INDIVIDUAL
Kumud,Kumari,Regmi,F,INDIVIDUAL
Shiva,Bikram,Pandey,M,INDIVIDUAL
Juna,Saraswati,Neupane,F,INDIVIDUAL
Gambheer,Bipin,Adhikari,M,INDIVIDUAL
Srista,Laxmi,Khadka,F,INDIVIDUAL
Suprim,Bishnu,Shrestha,M,INDIVIDUAL
Anushikha,Saraswati,Shrestha,F,INDIVIDUAL
Prasanga,Bishal,Neupane,M,INDIVIDUAL
Asphota,Maya,Shrestha,F,INDIVIDUAL
Sahil,Bahadur,Yadav,M,INDIVIDUAL
Timilsina,Gopal,Acharya,M,INDIVIDUAL
Hemraj,Bibek,Karki,M,INDIVIDUAL
Avineak,Bishal,Pandey,M,INDIVIDUAL
Srijeet,Prasad,Tamang,M,INDIVIDUAL
Aavaas,Ram,Adhikari,M,INDIVIDUAL
Suk,Bishal,Sharma,M,INDIVIDUAL
Sanyukta,Saraswati,Bhattarai,F,INDIVIDUAL
Dipika,Saraswati,Adhikari,F,INDIVIDUAL
Ronika,Devi,Rai,F,INDIVIDUAL
Mikma,Hari,Lama,M,INDIVIDUAL
Hrisheekesh,Dev,Khadka,M,INDIVIDUAL
Sriti,Kumari,Thapa,F,INDIVIDUAL
Humacanta,Bipin,Thapa,M,INDIVIDUAL
Nawraj,Bishal,Khadka,M,INDIVIDUAL
Smeeta,Devi,Lama,F,INDIVIDUAL
Krishala,Kumari,Sharma,F,INDIVIDUAL
Talaz,Prasad,Bhattarai,M,INDIVIDUAL
Lucy,Laxmi,Regmi,F,INDIVIDUAL
Adarsh,Bhakta,Lama,M,INDIVIDUAL
Prithivi,Narayan,Adhikari,M,INDIVIDUAL
Vawesh,Lal,Bhandari,M,INDIVIDUAL
Sakhil,Krishna,Lama,M,INDIVIDUAL
Duman,Narayan,Neupane,M,INDIVIDUAL
Neeti,Saraswati,Limbu,F,INDIVIDUAL
Bashuki,Maan,Neupane,M,INDIVIDUAL
Anoj,Bahadur,Yadav,M,INDIVIDUAL
Bikalpa,Saraswati,Limbu,F,INDIVIDUAL
Nawal,Bhakta,Dahal,M,INDIVIDUAL
Sammriddha,Bipin,Poudel,M,INDIVIDUAL
Dorkaji,Lal,Thakuri,M,INDIVIDUAL
Shrikumar,Ram,Yadav,M,INDIVIDUAL
Girijesh,Bibek,Limbu,M,INDIVIDUAL
Bandana,Lal,Acharya,M,INDIVIDUAL
Hansha,Krishna,Adhikari,M,INDIVIDUAL
Keith,Bikram,Rai,M,INDIVIDUAL
Sanju,Shankar,Sharma,M,INDIVIDUAL
Apekshya,Devi,Thakuri,F,INDIVIDUAL
Rajababu,Bishal,Dahal,M,INDIVIDUAL
Bhawna,Saraswati,Rana,F,INDIVIDUAL
Posraj,Bhakta,Dahal,M,INDIVIDUAL
Suhela,Maya,Maharjan,F,INDIVIDUAL
Rajoj,Hari,Rana,M,INDIVIDUAL
Roma,Kumari,Acharya,F,INDIVIDUAL
Heli,Saraswati,Acharya,F,INDIVIDUAL
Pranij,Lal,Karki,M,INDIVIDUAL
Sanjita,Dev,Rai,M,INDIVIDUAL
Prajina,Devi,Maharjan,F,INDIVIDUAL
Nirvan,Bishnu,Maharjan,M,INDIVIDUAL
Surojan,Gopal,Bhattarai,M,INDIVIDUAL
Dikpal,Dev,Sharma,M,INDIVIDUAL
Nirupa,Kumari,Rai,F,INDIVIDUAL
Srigeeta,Saraswati,Timalsina,F,INDIVIDUAL
Saubhagya,Bikram,Rai,M,INDIVIDUAL
Ojina,Kumari,Adhikari,F,INDIVIDUAL
Leena(shrestha),Laxmi,Pandey,F,INDIVIDUAL
Aayushka,Maya,Neupane,F,INDIVIDUAL
Praswish,Dev,Sharma,M,INDIVIDUAL
Suchitra,Narayan,Thakuri,M,INDIVIDUAL
Kiran,Maya,Tamang,F,INDIVIDUAL
Swechchha,Maan,Karki,M,INDIVIDUAL
Prabina,Saraswati,Maharjan,F,INDIVIDUAL
Yogeshwar,Bipin,Thakuri,M,INDIVIDUAL
Nishar,Saraswati,Tamang,F,INDIVIDUAL
Sindu,Saraswati,Rai,F,INDIVIDUAL
Ajita,Devi,Karki,F,INDIVIDUAL
Prakhal,Lal,Adhikari,M,INDIVIDUAL
Ramprawesh,Kumar,Limbu,M,INDIVIDUAL
Vibha,Maya,Shrestha,F,INDIVIDUAL
Jayson,Maan,Shrestha,M,INDIVIDUAL
Rajeshwori,Saraswati,Dahal,F,INDIVIDUAL
Aparajita,Maya,Khadka,F,INDIVIDUAL
Durlabh,Dev,Gurung,M,INDIVIDUAL
Rupkala,Maya,Bhandari,F,INDIVIDUAL
Bhavindra,Bikram,Thapa,M,INDIVIDUAL
Seelu,Kumari,Rai,F,INDIVIDUAL
Chumakanta,Bhakta,Thakuri,M,INDIVIDUAL
Bajrangi,Bikram,Timalsina,M,INDIVIDUAL
Depenti,Maya,Shrestha,F,INDIVIDUAL
Samarpan,Bibek,Rai,M,INDIVIDUAL
Iwan,Bipin,Gurung,M,INDIVIDUAL
Suhasini,Laxmi,Bhattarai,F,INDIVIDUAL
Jen,Biren,Bhattarai,M,INDIVIDUAL
Shashindra,Hari,Khadka,M,INDIVIDUAL
Tshetish,Bikram,Rai,M,INDIVIDUAL
Smit,Shankar,Gurung,M,INDIVIDUAL
Poojan,Bipin,Poudel,M,INDIVIDUAL
Sunisha,Saraswati,Shrestha,F,INDIVIDUAL
Achhami,Kumari,Acharya,F,INDIVIDUAL
Manabi,Devi,Thapa,F,INDIVIDUAL
Rojee,Kumari,Khadka,F,INDIVIDUAL
Dhan,Devi,Rana,F,INDIVIDUAL
Sacchita,Saraswati,Tamang,F,INDIVIDUAL
Swekchha,Devi,Khadka,F,INDIVIDUAL
Prativa,Saraswati,Maharjan,F,INDIVIDUAL
Prabidhi,Bipin,Maharjan,M,INDIVIDUAL
Akshar,Ram,Limbu,M,INDIVIDUAL
Sarveshwar,Hari,Tamang,M,INDIVIDUAL
Samriddi,Maya,Bhandari,F,INDIVIDUAL
Drrajendra,Bahadur,Karki,M,INDIVIDUAL
Nashla,Laxmi,Bhattarai,F,INDIVIDUAL
Dhirendra,Bishal,Pandey,M,INDIVIDUAL
Urmila,Laxmi,Thakuri,F,INDIVIDUAL
