dob,pan,email,text0,text1,text2,text3,text4,text5,gender,gfname,mobnum,bank_id,certnum,country,del_flg,doctype,foracid,landnum,relcode,srl_num,certauth,fullname,mailcity,maildist,pertcity,pertdist,rel_type,certplace,lchg_time,rcre_time,saluation,fathername,occupation,perttoleno,pertwardno,spousename,certexpdate,mailtolenum,mailwardnum,nationality,perthosueno,cerissuedate,lchg_user_id,rcre_user_id,cerissuedatead,entity_cre_flg,mailinghouseno,updated_at,preferredname 
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,3,,,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,4,,HARI PRASAD KADARIYA                                                                                                                                                                                    ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,HARI PRASAD KADARIYA                                                                                                                                                                                    
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,F,,+977-9823170390,1,,,,,FA3598099171962374,,,11,,TARA BASNET                                                                                                                                                                                             ,,,,,A,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,TARA BASNET                                                                                                                                                                                             
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,F,,+977-9823170390,1,,,,,FA3598099171962374,,,6,,SASHIKALA MUKHIYA SUNUWAR                                                                                                                                                                               ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,SASHIKALA MUKHIYA SUNUWAR                                                                                                                                                                               
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,7,,PRAKASH BHATTARAI                                                                                                                                                                                       ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,PRAKASH BHATTARAI                                                                                                                                                                                       
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,F,,+977-9823170390,1,,,,,FA3598099171962374,,,8,,CHANDRA KALA BHATTARAI                                                                                                                                                                                  ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,CHANDRA KALA BHATTARAI                                                                                                                                                                                  
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,9,,INDRA BAHADUR KARKI                                                                                                                                                                                     ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,INDRA BAHADUR KARKI                                                                                                                                                                                     
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,10,,NAR BAHADUR BASNET                                                                                                                                                                                      ,,,,,A,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,NAR BAHADUR BASNET                                                                                                                                                                                      
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,2,,KIRAN KAPURI                                                                                                                                                                                            ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,KIRAN KAPURI                                                                                                                                                                                            
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,1,,KAMAL BAHADUR BASNET                                                                                                                                                                                    ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,KAMAL BAHADUR BASNET                                                                                                                                                                                    
