ecdd,panno,cif_id,crm_id,rm_code,grd_name,pur_acct,son_name,emailflag,lchg_time,rcre_time,childdate1,childdate2,childname1,childname2,kyc_status,daught_name,father_name,fath_in_law,mother_name,spouse_name,lchg_user_id,rcre_user_id,duaght_in_law,employergrpid,grd_moth_name,entity_cre_flg,es_mn_tran_amt,es_mn_tran_num,kyc_last_review,referal_foracid,ecdd_last_review,es_annu_tran_amt,es_annu_tran_num,max_amt_per_tran,citizenship_number,neareferal_foracid,online_self_present,updated_at
,PAN733986970,DLNIND6943934,,R07,JANALI Bhattarai,,Vawesh Bhattarai,,01-DEC-20,01-DEC-20,,,,,,Sriti Bhattarai,MAULADIN Bhattarai,,KASIDAN KHATUN,MOMINA KHATOON,FIVUSR,FIVUSR,,,,Y,,,,,,,,,56447/3202,,N,2024-08-07 06:59:12.403
,PAN825001101,DLNIND9084977,,B01,DHANIRAM Bhattarai,,Bhavindra Bhattarai,,01-DEC-20,01-DEC-20,,,,,,Anushikha Bhattarai,BIRKHE Bhattarai,,DURGI BISTA,BIRMI BISTA,FIVUSR,FIVUSR,,,,Y,,,,,,,,,14640/8951,,N,2024-08-07 06:59:12.403
,PAN106648673,DLNIND5013653,,R02,SANT Lama,,Srija Lama,,03-DEC-20,03-DEC-20,,,,,,Bikalpa Lama,PADAM Lama,,GANGA DEVI MAGAR,SHANTI DEVI MAGAR,FIVUSR,FIVUSR,,,,Y,,,,,,,,,24407/6993,,N,2024-08-07 06:59:12.403
,PAN651060348,DLNIND1568693,,09B01,LAL Tamang,,Prithivi Tamang,,04-07-2022 07:39:13,04-07-2022 07:39:13,,,,,Y,Dipika Tamang,KHEM Tamang,,DIVYA MAYA GURUNG,KAMALA GURUNG,FIVUSR,FIVUSR,,,,Y,,,2022-07-04T00:00:00.000000,,,,,,33299/6283,,N,2024-08-07 06:59:12.403
,PAN924788908,DLNIND3263104,,N9B01,TARI Neupane,,,,08-12-2021 02:38:16,08-12-2021 02:38:16,,,,,Y,,SHIVA Neupane,,AMBIKA DEVI SHRESTHA,,FIVUSR,FIVUSR,,,PADAM DEVI SHRESTHA,Y,,,2021-12-08T00:00:00.000000,,,,,,90605/2568,,N,2024-08-07 06:59:12.403
,PAN153589712,DLNIND9611726,,N8B01,DEV Adhikari,,,,09-10-2020 02:14:23,09-10-2020 02:14:23,,,,,,,DEV Adhikari,,SIMA YADAV,,FIVUSR,FIVUSR,,,LILA DEVI YADAV,Y,,,,,,,,,92054/6761,,N,2024-08-07 06:59:12.403
,PAN370287241,DLNIND7340765,,26B01,LOTAN Acharya,,,,10-02-2022 07:26:23,10-02-2022 07:26:23,,,,,Y,,RAM Acharya,,USHA DEVI DAS,,FIVUSR,FIVUSR,,,URMILA DEVI DAS,Y,,,2022-02-10T00:00:00.000000,,,,,,16021/5807,,N,2024-08-07 06:59:12.403
,PAN593892274,DLNIND8496642,,U9B01,MAN Adhikari,,Prasanga Adhikari,,10-MAR-21,10-MAR-21,,,,,,Sacchita Adhikari,HARSHA Adhikari,,URMILA THAPA,MIN BAHADUR RANA,FIVUSR,FIVUSR,,,MANISARA THAPA,Y,,,,,,,,,64347/3768,,N,2024-08-07 06:59:12.403
,PAN331700070,DLNIND1255130,,26B01,SHER Lama,,,,11-01-2022 06:33:57,11-01-2022 06:33:57,,,,,Y,,DUBA Lama,,KRISHNA KUMARI RAI,,FIVUSR,FIVUSR,,,MAHA RATNA RAI,Y,,,2022-01-11T00:00:00.000000,,,,,,21395/3358,,N,2024-08-07 06:59:12.403
,PAN695591077,DLNIND5644007,,R3B01,MAUJE Bhandari,,,,11-02-2020 12:48:09,11-02-2020 12:48:09,,,,,,,SHREE Bhandari,,SHREEMATI PARBATI DEVI SAH,,FIVUSR,FIVUSR,,NAGKA,,Y,,,,,,,,,12017/7492,,N,2024-08-07 06:59:12.403
,PAN727567807,DLNIND3257367,,V8B01,DHAN Adhikari,,,,11-08-2022 05:54:45,11-08-2022 05:54:45,,,,,Y,,DIPENDRA Adhikari,,SIRJANA K.C. MAHAT,,FIVUSR,FIVUSR,,,LAL KUMARI POUDEL,Y,,,2022-08-11T00:00:00.000000,,,,,SRIJANA K.C. MAHAT,27267/2770,,N,2024-08-07 06:59:12.403
,PAN847554163,DLNIND4157875,,62B01,UNKNOWN Khadka,,Jen Khadka,,13-09-2023 05:33:40,13-09-2023 05:33:40,,,,,Y,Nirupa Khadka,CHANDRA Khadka,,DHAN MAYA GURUNG,DEU BAHADUR GURUNG,FIVUSR,FIVUSR,,,,Y,,,2023-09-13T00:00:00.000000,,,,,,56575/8097,,N,2024-08-07 06:59:12.403
,PAN668645879,DLNIND1406504,,Q3B01,RAMDEV Thapa,,,,13-10-2023 06:16:27,13-10-2023 06:16:27,,,,,Y,,SURESH Thapa,,USHA DEVI TELIN,,FIVUSR,FIVUSR,,,,Y,,,2023-10-13T00:00:00.000000,,,,,,25801/2371,,N,2024-08-07 06:59:12.403
,PAN170015742,DLNIND9910969,,,PADAM Bhandari,,,,13-12-2018 08:45:13,13-12-2018 08:45:13,,,,,,,CHAKRA Bhandari,,KHADGA KUMARI NEUPANE,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,22303/7979,,N,2024-08-07 06:59:12.403
,PAN571982938,DLNIND6814583,,30B01,SHOVAKANTA Sharma,,Ramprawesh Sharma,,14-FEB-21,21-JAN-21,,,,,,Manabi Sharma,THAKUR Sharma,,PARBATI ADHIKARI,RAMESH DHAKAL,ES1259,FIVUSR,,,DAMYANTI ADHIKARI,Y,,,,,,,,,72160/7614,,N,2024-08-07 06:59:12.403
,PAN167423035,DLNIND2287753,,F8B01,NAM Regmi,,,,15-12-2020 04:50:30,15-12-2020 04:50:30,,,,,,,HEM Regmi,,RASHMI DHAKAL,,FIVUSR,FIVUSR,,,KHUMADEVI GORATHOKI,Y,,,,,,,,HEM RAJ GORATHOKI,32215/8451,,N,2024-08-07 06:59:12.403
,PAN960707979,DLNIND8726228,,49B01,MIN Sharma,,,,16-03-2020 02:52:56,16-03-2020 02:52:56,,,,,,,BISHNU Sharma,,GANGA KUMARI RIMAL,,FIVUSR,FIVUSR,,,,Y,,,,,,,,BISHNU PRASAD PANTA,23900/7219,,N,2024-08-07 06:59:12.403
