grandfather_name,son_name,pur_acct,childdate1,childdate2,childname1,childname2,daughter_name,father_name,father_in_law,mother_name,spouse_name,duaghter_in_law,grand_moth_name
Bikash Poudel,Kiran Poudel,UC4922180,2009-10-06,2010-06-05,Gita Poudel,Radha Poudel,Gita Poudel,Hari Poudel,Ram Poudel,Sabita Poudel,Deepak Poudel,Maya Poudel,Laxmi Poudel
Kiran Bhattarai,Ramesh Bhattarai,FW1165169,2020-08-02,2008-07-13,Gita Bhattarai,Shyam Bhattarai,Gita Bhattarai,Manoj Bhattarai,Ramesh Bhattarai,Sunita Bhattarai,Deepak Bhattarai,Radha Bhattarai,Sita Bhattarai
Bikash Regmi,Ramesh Regmi,QH6856278,2019-06-25,2013-07-02,Sabita Regmi,Kamala Regmi,Sita Regmi,Anil Regmi,Deepak Regmi,Rita Regmi,Hari Regmi,Gita Regmi,Sunita Regmi
Kiran KC,Gopal KC,VY5329513,2012-04-03,2022-03-08,Manoj KC,Ram KC,Sunita KC,Shyam KC,Ram KC,Laxmi KC,Rita KC,Radha KC,Rita KC
Anil Tamang,Gopal Tamang,TJ5768611,2020-01-07,2014-12-30,Sita Tamang,Hari Tamang,Sunita Tamang,Anil Tamang,Bikash Tamang,Kamala Tamang,Sita Tamang,Kamala Tamang,Rita Tamang
Shyam Chhetri,Hari Chhetri,GM7343297,2014-05-04,2010-08-22,Shyam Chhetri,Bikash Chhetri,Laxmi Chhetri,Kiran Chhetri,Shyam Chhetri,Radha Chhetri,Kiran Chhetri,Sita Chhetri,Laxmi Chhetri
Gopal Karki,Bikash Karki,WM1193577,2009-01-29,2013-06-07,Bikash Karki,Laxmi Karki,Sunita Karki,Ramesh Karki,Deepak Karki,Sabita Karki,Sunita Karki,Asha Karki,Laxmi Karki
Kiran Basnet,Bikash Basnet,GT4976053,2008-02-17,2022-12-01,Laxmi Basnet,Gita Basnet,Maya Basnet,Shyam Basnet,Shyam Basnet,Radha Basnet,Deepak Basnet,Laxmi Basnet,Radha Basnet
Bikash KC,Bikash KC,BU3669438,2019-07-14,2014-12-02,Ram KC,Radha KC,Radha KC,Gopal KC,Anil KC,Gita KC,Sita KC,Asha KC,Sita KC
Ramesh Magar,Ram Magar,DS9739701,2017-07-08,2019-03-02,Sunita Magar,Manoj Magar,Sunita Magar,Gopal Magar,Anil Magar,Kamala Magar,Ramesh Magar,Sunita Magar,Sabita Magar
Shyam Ghimire,Bikash Ghimire,KH3055799,2016-10-08,2011-10-10,Gopal Ghimire,Asha Ghimire,Sabita Ghimire,Ramesh Ghimire,Ramesh Ghimire,Kamala Ghimire,Manoj Ghimire,Asha Ghimire,Sunita Ghimire
Ramesh Magar,Shyam Magar,CX8781175,2009-05-29,2012-12-02,Gita Magar,Anil Magar,Sabita Magar,Manoj Magar,Bikash Magar,Laxmi Magar,Gopal Magar,Asha Magar,Sabita Magar
Manoj Lama,Shyam Lama,GG6941773,2007-08-22,2015-05-10,Anil Lama,Gita Lama,Laxmi Lama,Ramesh Lama,Ramesh Lama,Rita Lama,Maya Lama,Asha Lama,Laxmi Lama
Shyam Tamang,Deepak Tamang,KQ2561966,2009-12-02,2014-01-26,Kamala Tamang,Sita Tamang,Asha Tamang,Shyam Tamang,Bikash Tamang,Laxmi Tamang,Laxmi Tamang,Sunita Tamang,Radha Tamang
Gopal Poudel,Bikash Poudel,AQ8352465,2007-04-25,2012-11-14,Kiran Poudel,Deepak Poudel,Sabita Poudel,Gopal Poudel,Anil Poudel,Maya Poudel,Gita Poudel,Rita Poudel,Laxmi Poudel
Bikash Adhikari,Bikash Adhikari,ZL3730824,2021-09-02,2021-05-17,Sunita Adhikari,Anil Adhikari,Sita Adhikari,Ramesh Adhikari,Bikash Adhikari,Kamala Adhikari,Kiran Adhikari,Sunita Adhikari,Rita Adhikari
Manoj Tamang,Ram Tamang,WN8176645,2013-06-30,2015-05-19,Gita Tamang,Sabita Tamang,Radha Tamang,Bikash Tamang,Shyam Tamang,Maya Tamang,Anil Tamang,Gita Tamang,Radha Tamang
Kiran KC,Manoj KC,WC4588780,2022-10-30,2006-10-01,Deepak KC,Anil KC,Kamala KC,Ram KC,Manoj KC,Laxmi KC,Gopal KC,Sunita KC,Sabita KC
Hari Poudel,Shyam Poudel,UF0521812,2016-03-29,2018-08-13,Hari Poudel,Shyam Poudel,Kamala Poudel,Manoj Poudel,Bikash Poudel,Radha Poudel,Shyam Poudel,Radha Poudel,Kamala Poudel
Deepak Ghimire,Anil Ghimire,BZ7744508,2010-10-04,2018-04-13,Manoj Ghimire,Radha Ghimire,Rita Ghimire,Anil Ghimire,Gopal Ghimire,Sabita Ghimire,Sabita Ghimire,Sita Ghimire,Asha Ghimire
Hari Shrestha,Bikash Shrestha,IT3057863,2007-07-22,2017-08-03,Sabita Shrestha,Manoj Shrestha,Sita Shrestha,Shyam Shrestha,Bikash Shrestha,Kamala Shrestha,Maya Shrestha,Sunita Shrestha,Sabita Shrestha
Kiran Thapa,Shyam Thapa,HZ6126625,2018-07-11,2017-11-01,Deepak Thapa,Ramesh Thapa,Radha Thapa,Ramesh Thapa,Hari Thapa,Sita Thapa,Kiran Thapa,Sunita Thapa,Asha Thapa
Ram Thapa,Ramesh Thapa,KZ0666441,2018-10-18,2013-04-18,Hari Thapa,Manoj Thapa,Kamala Thapa,Kiran Thapa,Manoj Thapa,Laxmi Thapa,Sunita Thapa,Maya Thapa,Sunita Thapa
Kiran Subedi,Anil Subedi,UF3550854,2016-09-23,2009-07-08,Gita Subedi,Laxmi Subedi,Rita Subedi,Ram Subedi,Gopal Subedi,Gita Subedi,Ramesh Subedi,Rita Subedi,Sita Subedi
Gopal Adhikari,Bikash Adhikari,CA4032031,2022-01-29,2013-02-12,Anil Adhikari,Kamala Adhikari,Gita Adhikari,Deepak Adhikari,Anil Adhikari,Sabita Adhikari,Shyam Adhikari,Asha Adhikari,Sabita Adhikari
