id,active,added_by,branch_id,added_date,is_primary,renew_date,card_number,charge_code,customer_id,expiry_date,reg_cleared,reg_id_temp,txn_enabled,migration_id,service_code,service_flag,account_alias,account_label,alert_enabled,currency_code,account_number,charge_remarks,account_type_id,is_trial_period,service_remarks,is_account_owner,last_modified_by,charge_deduct_date,last_modified_date,service_block_date,account_holder_name,old_bank_account_id,account_owner_cbs_id,allow_foreign_currency_txn,updated_at
1,Y,1.0,2,"Row(member0=Timestamp('2022-03-20 06:07:12'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,134,"Row(member0=Timestamp('2023-02-01 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA9627239668220084,,331.0,N,,Y,,,,,Humacanta Bipin Thapa,,DLNIND1406504,,2024-08-07 07:05:19.210
2,Y,1.0,2,"Row(member0=Timestamp('2022-03-20 06:15:00'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,135,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA3302344775994664,,331.0,N,,Y,,,,,Sriti Kumari Thapa,,DLNIND4211643,,2024-08-07 07:05:19.210
3,Y,1.0,2,"Row(member0=Timestamp('2022-03-20 22:32:36'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,136,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,ACCOUNT,Y,NPR,FA5553585851915269,,331.0,N,,Y,,,,,Sriti Kumari Thapa,,DLNIND4211643,,2024-08-07 07:05:19.210
4,D,1.0,2,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,137,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA2582732553674743,,331.0,N,,Y,,,,,LUMBINI TRAVELS PVT. LTD.,,DLNLEG9334212,,2024-08-07 07:05:19.210
5,D,1.0,2,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,138,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA7171012596574289,,331.0,N,,Y,,,,,NEPAL AIRLINES LTD.,,DLNLEG6576494,,2024-08-07 07:05:19.210
6,D,1.0,2,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,139,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA8416326642901529,,331.0,N,,Y,,,,,Kalyan Gopal Maharjan,,DLNIND1138256,,2024-08-07 07:05:19.210
7,Y,1.0,1,"Row(member0=Timestamp('2022-03-21 02:58:38'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,140,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,ACCOUNT,Y,NPR,FA4245394524373538,,1.0,N,,Y,,,,,MUSTANG CARPENTRY PVT. LTD.,,DLNLEG6450861,,2024-08-07 07:05:19.210
8,Y,1.0,2,"Row(member0=Timestamp('2022-03-21 03:04:06'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,141,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA3894074676824838,,331.0,N,,Y,,,,,Juna Saraswati Neupane,,DLNIND8257521,,2024-08-07 07:05:19.210
9,Y,1.0,2,"Row(member0=Timestamp('2022-03-21 03:07:58'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,142,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CMD,E,1,WALLET,Y,NPR,FA6855771139726810,,331.0,N,,Y,,,,,NEPAL FINANCE GROUP LTD.,,DLNLEG7996075,,2024-08-07 07:05:19.210
10,Y,1.0,1,"Row(member0=Timestamp('2022-03-21 03:08:37'), member1=None)",Y,"Row(member0=Timestamp('2024-07-23 11:04:11'), member1=None)",,0,143,"Row(member0=Timestamp('2025-12-14 06:07:12'), member1=None)",Y,,Y,,CME,E,1,ACCOUNT,Y,NPR,FA2922467209225100,,1.0,N,,Y,,,,,MANASLU HOSPITALITY PVT. LTD.,,DLNLEG5646672,,2024-08-07 07:05:19.210
